Geneid	Chr	Start	End	Strand	Length
gene-LOC100121102	NC_045758.1	4572615	4575970	+	3356
gene-LOC100679403	NC_045758.1	4602881	4607165	-	4285
gene-LOC100121196	NC_045758.1	4681537	4744423	-	62887
gene-LOC103316652	NC_045758.1	4746210	4749333	-	3124
gene-Uqcrfs1	NC_045758.1	4749569	4751638	-	2070
gene-LOC103316653	NC_045758.1	4751773	4753449	-	1677
gene-LOC116416168	NC_045758.1	4755361	4755995	+	635
gene-LOC107980718	NC_045758.1	4755746	4758639	-	2894
gene-LOC100121243	NC_045758.1	4758580	4761738	-	3159
gene-LOC100114163	NC_045758.1	4762143	4775631	+	13489
gene-LOC100679613	NC_045758.1	4778075	4897590	-	119516
gene-LOC100679693	NC_045758.1	4803787	4804676	+	890
gene-LOC107980626	NC_045758.1	4919412	4921894	+	2483
gene-LOC107980652	NC_045758.1	4922109	4925039	+	2931
gene-LOC107980447	NC_045758.1	4933428	4935658	-	2231
gene-LOC100121340	NC_045758.1	4936292	4937357	+	1066
gene-LOC100679786	NC_045758.1	4940621	4941729	+	1109
gene-LOC100680088	NC_045758.1	4946818	4954933	+	8116
gene-LOC103316654	NC_045758.1	4949170	4950512	-	1343
gene-LOC103316678	NC_045758.1	4955266	4957527	+	2262
gene-LOC100679875	NC_045758.1	4963779	4966302	+	2524
gene-LOC100680119	NC_045758.1	4965385	4978800	-	13416
gene-LOC100121490	NC_045758.1	4976786	4998333	+	21548
gene-LOC100121471	NC_045758.1	4979290	4988610	-	9321
gene-LOC100121507	NC_045758.1	4998390	5005612	-	7223
gene-LOC100121526	NC_045758.1	5004226	5011532	+	7307
gene-LOC100680075	NC_045758.1	5006950	5007889	-	940
gene-LOC100114203	NC_045758.1	5011214	5012600	-	1387
gene-LOC100121546	NC_045758.1	5012098	5015194	+	3097
gene-LOC100121561	NC_045758.1	5015024	5016212	-	1189
gene-LOC100680170	NC_045758.1	5016031	5017513	+	1483
gene-LOC100121616	NC_045758.1	5016986	5027355	-	10370
gene-LOC116416167	NC_045758.1	5020690	5021690	+	1001
gene-LOC100121637	NC_045758.1	5027923	5034828	-	6906
gene-LOC116416166	NC_045758.1	5031365	5034292	+	2928
gene-LOC100121652	NC_045758.1	5035612	5042207	+	6596
gene-LOC100121670	NC_045758.1	5042266	5043750	+	1485
gene-LOC100114282	NC_045758.1	5043873	5045779	-	1907
gene-LOC100121686	NC_045758.1	5045522	5046966	+	1445
gene-LOC100121703	NC_045758.1	5046686	5050408	-	3723
gene-LOC100680357	NC_045758.1	5050948	5052631	-	1684
gene-LOC100121737	NC_045758.1	5052659	5054346	+	1688
gene-LOC100114247	NC_045758.1	5054214	5057362	-	3149
gene-LOC100121759	NC_045758.1	5057250	5064263	-	7014
gene-LOC100114314	NC_045758.1	5065341	5074324	+	8984
gene-LOC116416219	NC_045758.1	5069161	5069290	+	130
gene-LOC100121773	NC_045758.1	5077346	5090141	+	12796
gene-LOC100121795	NC_045758.1	5090324	5091922	+	1599
gene-LOC100121813	NC_045758.1	5092068	5100202	+	8135
gene-LOC100121831	NC_045758.1	5094541	5107381	-	12841
gene-LOC116416135	NC_045758.1	5107489	5109776	+	2288
gene-LOC116416133	NC_045758.1	5115214	5119015	+	3802
gene-LOC116416134	NC_045758.1	5119501	5121936	-	2436
gene-LOC100121849	NC_045758.1	5123223	5129115	+	5893
gene-LOC100121865	NC_045758.1	5129124	5131145	-	2022
gene-LOC100114341	NC_045758.1	5131563	5134706	+	3144
gene-LOC100121879	NC_045758.1	5134497	5142851	-	8355
gene-LOC100121894	NC_045758.1	5142665	5148275	+	5611
gene-LOC100121913	NC_045758.1	5150255	5185420	+	35166
gene-LOC100121928	NC_045758.1	5185867	5195640	-	9774
gene-LOC100678117	NC_045758.1	5196037	5198868	-	2832
gene-LOC100121945	NC_045758.1	5198095	5205151	+	7057
gene-LOC100678176	NC_045758.1	5204933	5207920	-	2988
gene-LOC100121981	NC_045758.1	5207887	5213452	+	5566
gene-LOC100121997	NC_045758.1	5213329	5234835	-	21507
gene-LOC100122012	NC_045758.1	5238559	5244631	+	6073
gene-LOC103316656	NC_045758.1	5239856	5247189	-	7334
gene-LOC100122042	NC_045758.1	5248867	5265934	-	17068
gene-LOC103316681	NC_045758.1	5266730	5274043	-	7314
gene-LOC100122073	NC_045758.1	5274212	5283106	-	8895
gene-LOC100122089	NC_045758.1	5283394	5285921	+	2528
gene-LOC100122105	NC_045758.1	5285626	5290946	-	5321
gene-LOC100122121	NC_045758.1	5291273	5298267	+	6995
gene-LOC100680469	NC_045758.1	5297556	5300037	-	2482
gene-LOC100122148	NC_045758.1	5300124	5305378	+	5255
gene-LOC116416136	NC_045758.1	5300616	5302496	+	1881
gene-LOC100122162	NC_045758.1	5305724	5317976	+	12253
gene-LOC100114376	NC_045758.1	5317972	5320910	-	2939
gene-LOC100122190	NC_045758.1	5320456	5327690	+	7235
gene-LOC100122205	NC_045758.1	5326839	5329782	-	2944
gene-LOC100122219	NC_045758.1	5330198	5331209	-	1012
gene-LOC100122234	NC_045758.1	5331406	5344532	-	13127
gene-LOC100122260	NC_045758.1	5347597	5371000	+	23404
gene-LOC100678859	NC_045758.1	5360487	5363479	-	2993
gene-LOC100678797	NC_045758.1	5371239	5373700	-	2462
gene-LOC100122290	NC_045758.1	5373723	5385904	-	12182
gene-LOC100122304	NC_045758.1	5384672	5392172	+	7501
gene-LOC100122312	NC_045758.1	5391176	5397395	-	6220
gene-LOC100114414	NC_045758.1	5397489	5400464	+	2976
gene-LOC100122325	NC_045758.1	5409485	5418070	-	8586
gene-LOC100122401	NC_045758.1	5419947	5962578	+	542632
gene-LOC116416137	NC_045758.1	5440207	5441815	-	1609
gene-LOC107980661	NC_045758.1	5532845	5534594	-	1750
gene-LOC100122370	NC_045758.1	5534774	5536555	-	1782
gene-LOC107980660	NC_045758.1	5536789	5538433	-	1645
gene-LOC116416138	NC_045758.1	5723845	5724302	-	458
gene-LOC100122429	NC_045758.1	5962971	5964532	+	1562
gene-LOC107980662	NC_045758.1	5964091	5966575	-	2485
gene-LOC100679097	NC_045758.1	5967371	5996035	+	28665
gene-LOC100122454	NC_045758.1	5997234	6203855	-	206622
gene-LOC100122467	NC_045758.1	6120137	6122292	+	2156
gene-LOC107980627	NC_045758.1	6183280	6185275	-	1996
gene-LOC100122489	NC_045758.1	6205555	6210981	+	5427
gene-LOC100122500	NC_045758.1	6210947	6214677	-	3731
gene-LOC100122523	NC_045758.1	6214648	6231077	+	16430
gene-LOC107980628	NC_045758.1	6232104	6233511	+	1408
gene-LOC100122558	NC_045758.1	6233345	6341403	-	108059
gene-LOC116416119	NC_045758.1	6256410	6259127	-	2718
gene-LOC116416120	NC_045758.1	6305977	6307275	+	1299
gene-Acox3	NC_045758.1	6340940	6349390	+	8451
gene-LOC100114454	NC_045758.1	6341990	6345341	-	3352
gene-LOC103316660	NC_045758.1	6349276	6351150	-	1875
gene-LOC100122606	NC_045758.1	6351249	6353830	-	2582
gene-LOC100122618	NC_045758.1	6353768	6358905	+	5138
gene-HSC70	NC_045758.1	6359001	6362200	-	3200
gene-LOC100122643	NC_045758.1	6362572	6367299	+	4728
gene-LOC100122653	NC_045758.1	6367429	6425947	-	58519
gene-LOC103316662	NC_045758.1	6418838	6422845	+	4008
gene-LOC103316661	NC_045758.1	6419932	6420902	+	971
gene-Myo1A	NC_045758.1	6427575	6436623	+	9049
gene-LOC100122689	NC_045758.1	6436450	6440271	-	3822
gene-LOC100114563	NC_045758.1	6440818	6443261	+	2444
gene-LOC100122699	NC_045758.1	6444061	6490268	-	46208
gene-LOC100679386	NC_045758.1	6474098	6477958	+	3861
gene-LOC100114599	NC_045758.1	6484389	6494563	+	10175
gene-LOC100122739	NC_045758.1	6494234	6496181	-	1948
gene-LOC100122749	NC_045758.1	6496229	6499910	-	3682
gene-LOC100122767	NC_045758.1	6508453	6553850	-	45398
gene-LOC116416092	NC_045758.1	6509519	6511898	-	2380
gene-LOC100678233	NC_045758.1	6553828	6556828	+	3001
gene-LOC100122796	NC_045758.1	6556959	6558680	+	1722
gene-LOC100122808	NC_045758.1	6560501	6563044	-	2544
gene-LOC103316664	NC_045758.1	6563166	6564493	-	1328
gene-LOC100122834	NC_045758.1	6564603	6566413	-	1811
gene-LOC100122846	NC_045758.1	6565712	6567978	+	2267
gene-LOC100122864	NC_045758.1	6567863	6577911	-	10049
gene-LOC100679654	NC_045758.1	6578345	6580722	+	2378
gene-LOC100678326	NC_045758.1	6580133	6584052	-	3920
gene-LOC100122878	NC_045758.1	6584151	6588854	+	4704
gene-LOC100122888	NC_045758.1	6589059	6593590	+	4532
gene-LOC100122901	NC_045758.1	6593621	6600784	-	7164
gene-LOC100122909	NC_045758.1	6598764	6600920	+	2157
gene-LOC100114636	NC_045758.1	6600262	6603478	+	3217
gene-LOC100678358	NC_045758.1	6603516	6605917	-	2402
gene-LOC100122927	NC_045758.1	6606245	6610129	-	3885
gene-LOC100122938	NC_045758.1	6611443	6617270	+	5828
gene-LOC100678426	NC_045758.1	6619753	6626124	-	6372
gene-LOC100122960	NC_045758.1	6627166	6631112	+	3947
gene-LOC100680004	NC_045758.1	6631203	6632863	+	1661
gene-LOC100114670	NC_045758.1	6632854	6634780	-	1927
gene-LOC100680087	NC_045758.1	6634815	6637585	+	2771
gene-LOC100122986	NC_045758.1	6643386	6748055	+	104670
gene-LOC100122998	NC_045758.1	6748229	6749923	+	1695
gene-LOC100123005	NC_045758.1	6749098	6753007	-	3910
gene-LOC100123017	NC_045758.1	6755416	6764081	-	8666
gene-LOC100123027	NC_045758.1	6764331	6765998	+	1668
gene-LOC100123041	NC_045758.1	6765814	6767564	-	1751
gene-LOC100678512	NC_045758.1	6767671	6770549	-	2879
gene-LOC100123062	NC_045758.1	6771105	6776153	-	5049
gene-LOC100680300	NC_045758.1	6776245	6785603	-	9359
gene-LOC100123079	NC_045758.1	6777733	6781621	+	3889
gene-LOC100680413	NC_045758.1	6781446	6785226	+	3781
gene-LOC100301486	NC_045758.1	6785719	6796788	+	11070
gene-LOC100114709	NC_045758.1	6796207	6797539	-	1333
gene-LOC100123095	NC_045758.1	6799397	6808865	+	9469
gene-LOC100123103	NC_045758.1	6810186	6858251	+	48066
gene-LOC100114749	NC_045758.1	6858511	6864715	-	6205
gene-LOC100123122	NC_045758.1	6864697	6874076	+	9380
gene-LOC100123130	NC_045758.1	6875015	6877265	+	2251
gene-LOC100123140	NC_045758.1	6877895	6884016	-	6122
gene-LOC100123149	NC_045758.1	6885785	6940871	-	55087
gene-LOC100123163	NC_045758.1	6915800	6942974	+	27175
gene-LOC100123156	NC_045758.1	6932346	6934249	+	1904
gene-LOC100123169	NC_045758.1	6943095	6947644	+	4550
gene-LOC100123175	NC_045758.1	6954352	6967868	+	13517
gene-LOC100123184	NC_045758.1	6967712	7095335	-	127624
gene-Mto1	NC_045758.1	7095355	7099444	+	4090
gene-LOC100187591	NC_045758.1	7096127	7096732	+	606
gene-LOC100123199	NC_045758.1	7101871	7271737	-	169867
gene-LOC100118600	NC_045758.1	7271821	7439443	+	167623
gene-LOC100114783	NC_045758.1	7335154	7336108	-	955
gene-LOC100678122	NC_045758.1	7442683	7452080	-	9398
gene-LOC116416196	NC_045758.1	7464739	7465449	+	711
gene-LOC116416122	NC_045758.1	7488167	7489122	+	956
gene-LOC100118454	NC_045758.1	7488877	7499762	-	10886
gene-LOC100117008	NC_045758.1	7500340	7501870	+	1531
gene-LOC100118416	NC_045758.1	7501868	7545176	-	43309
gene-LOC103317653	NC_045758.1	7546359	7609190	+	62832
gene-LOC103317652	NC_045758.1	7620119	7623958	-	3840
gene-LOC103317655	NC_045758.1	7635470	7637311	+	1842
gene-LOC116416192	NC_045758.1	7638636	7640105	-	1470
gene-LOC100118228	NC_045758.1	7662580	7689444	+	26865
gene-LOC100118198	NC_045758.1	7707019	7709323	+	2305
gene-LOC100118165	NC_045758.1	7708308	7710883	-	2576
gene-LOC100677933	NC_045758.1	7712604	7715494	-	2891
gene-LOC100118126	NC_045758.1	7715769	7718991	-	3223
gene-LOC100118083	NC_045758.1	7721795	7725829	-	4035
gene-LOC100118046	NC_045758.1	7727076	7729556	-	2481
gene-LOC100118010	NC_045758.1	7730600	7734930	-	4331
gene-LOC100117973	NC_045758.1	7735110	7737453	-	2344
gene-LOC100117935	NC_045758.1	7738406	7744043	-	5638
gene-LOC100117899	NC_045758.1	7742203	7748856	-	6654
gene-LOC100117857	NC_045758.1	7764480	7766979	+	2500
gene-LOC100117821	NC_045758.1	7767459	7777428	+	9970
gene-LOC100116973	NC_045758.1	7779051	7816074	+	37024
gene-LOC116416190	NC_045758.1	7802946	7804015	-	1070
gene-LOC100680094	NC_045758.1	7816325	7819386	+	3062
gene-LOC100117745	NC_045758.1	7818768	7829750	-	10983
gene-LOC100680529	NC_045758.1	7822389	7823652	+	1264
gene-LOC100117624	NC_045758.1	7824275	7850761	+	26487
gene-LOC100679997	NC_045758.1	7838556	7841101	-	2546
gene-LOC100117581	NC_045758.1	7850781	7852745	-	1965
gene-LOC103317650	NC_045758.1	7853117	7854512	-	1396
gene-LOC100328544	NC_045758.1	7854979	7856954	-	1976
gene-Or41	NC_045758.1	7857061	7858451	-	1391
gene-LOC100117460	NC_045758.1	7859845	7864751	+	4907
gene-LOC100679934	NC_045758.1	7864129	7876792	-	12664
gene-LOC116416191	NC_045758.1	7865482	7866088	+	607
gene-LOC100116937	NC_045758.1	7877171	7879805	+	2635
gene-LOC116416189	NC_045758.1	7879517	7880388	-	872
gene-LOC100117352	NC_045758.1	7880243	7882715	+	2473
gene-LOC100117315	NC_045758.1	7882232	7888027	-	5796
gene-LOC100117275	NC_045758.1	7888694	7890753	+	2060
gene-LOC103317648	NC_045758.1	7890925	7893147	-	2223
gene-LOC116738463	NC_045758.1	7892770	7894759	+	1990
gene-LOC100117202	NC_045758.1	7892919	7901521	+	8603
gene-LOC100117124	NC_045758.1	7901634	7912594	+	10961
gene-LOC100117052	NC_045758.1	7911239	7920271	-	9033
gene-LOC100120291	NC_045758.1	7925467	7929836	-	4370
gene-LOC100115185	NC_045758.1	7928794	7930732	-	1939
gene-LOC100120263	NC_045758.1	7930312	7932647	+	2336
gene-LOC100120206	NC_045758.1	7955923	7995296	+	39374
gene-LOC100120152	NC_045758.1	7995343	7997711	-	2369
gene-Syt1	NC_045758.1	7997761	8029547	+	31787
gene-LOC103316403	NC_045758.1	7997845	7999441	-	1597
gene-LOC100120056	NC_045758.1	8029636	8036823	-	7188
gene-LOC100120021	NC_045758.1	8043391	8050991	-	7601
gene-LOC103316396	NC_045758.1	8053828	8057438	-	3611
gene-LOC100115151	NC_045758.1	8062750	8064749	+	2000
gene-LOC100119958	NC_045758.1	8064759	8066582	-	1824
gene-Ift52	NC_045758.1	8066692	8068547	+	1856
gene-Nfyc	NC_045758.1	8068677	8070867	+	2191
gene-LOC100119893	NC_045758.1	8077487	8085428	+	7942
gene-LOC100119862	NC_045758.1	8085428	8092877	-	7450
gene-LOC100115117	NC_045758.1	8089098	8090528	+	1431
gene-LOC100119825	NC_045758.1	8090600	8092730	+	2131
gene-LOC100119787	NC_045758.1	8094986	8098072	+	3087
gene-LOC100119759	NC_045758.1	8098710	8099896	+	1187
gene-LOC116416165	NC_045758.1	8099674	8101996	-	2323
gene-LOC100119728	NC_045758.1	8103954	8108918	-	4965
gene-LOC100119703	NC_045758.1	8109220	8116351	-	7132
gene-LOC100678712	NC_045758.1	8117331	8119419	+	2089
gene-LOC100119627	NC_045758.1	8119819	8121895	+	2077
gene-LOC100115087	NC_045758.1	8122164	8122993	-	830
gene-LOC100679827	NC_045758.1	8123221	8124106	-	886
gene-LOC100119585	NC_045758.1	8124532	8127610	-	3079
gene-LOC100119547	NC_045758.1	8127566	8128978	+	1413
gene-LOC100119518	NC_045758.1	8128960	8131257	-	2298
gene-LOC100119453	NC_045758.1	8131925	8368192	-	236268
gene-LOC103316393	NC_045758.1	8226954	8265254	+	38301
gene-LOC103316394	NC_045758.1	8296424	8298158	+	1735
gene-LOC100119414	NC_045758.1	8375941	8455849	-	79909
gene-LOC100115023	NC_045758.1	8465743	8467733	+	1991
gene-LOC100115053	NC_045758.1	8467734	8468933	-	1200
gene-LOC100119379	NC_045758.1	8469242	8471865	+	2624
gene-LOC100119344	NC_045758.1	8471628	8475650	-	4023
gene-LOC100119315	NC_045758.1	8475772	8480359	+	4588
gene-LOC100119286	NC_045758.1	8503527	8538076	+	34550
gene-LOC100119244	NC_045758.1	8572202	8574570	+	2369
gene-LOC100119206	NC_045758.1	8573791	8582561	-	8771
gene-LOC100119168	NC_045758.1	8577370	8586988	+	9619
gene-LOC107980714	NC_045758.1	8587136	8591407	-	4272
gene-LOC100119096	NC_045758.1	8591529	8600396	-	8868
gene-LOC100119063	NC_045758.1	8602296	8611216	+	8921
gene-LOC100119029	NC_045758.1	8608917	8615967	-	7051
gene-LOC100118991	NC_045758.1	8614752	8634301	+	19550
gene-LOC100118952	NC_045758.1	8634641	8639885	+	5245
gene-LOC100118916	NC_045758.1	8639505	8643256	-	3752
gene-LOC100118882	NC_045758.1	8643102	8644671	+	1570
gene-LOC100679194	NC_045758.1	8644617	8646791	-	2175
gene-LOC100118814	NC_045758.1	8646963	8687288	-	40326
gene-LOC116416130	NC_045758.1	8682989	8685152	+	2164
gene-LOC100118697	NC_045758.1	8695024	8696453	+	1430
gene-LOC116738511	NC_045758.1	8696074	8697171	+	1098
gene-LOC100114988	NC_045758.1	8697023	8699341	+	2319
gene-LOC116416195	NC_045758.1	8698276	8700771	-	2496
gene-LOC100118626	NC_045758.1	8701580	8720782	+	19203
gene-LOC100118588	NC_045758.1	8724401	8741395	+	16995
gene-LOC116738524	NC_045758.1	8751097	8752079	+	983
gene-LOC100118480	NC_045758.1	8797408	8808639	-	11232
gene-LOC100118440	NC_045758.1	8814155	8822850	-	8696
gene-LOC100118402	NC_045758.1	8822624	8824678	+	2055
gene-LOC103316385	NC_045758.1	8824533	8829560	-	5028
gene-LOC116738496	NC_045758.1	8828000	8831182	+	3183
gene-LOC100118328	NC_045758.1	8836460	8841093	+	4634
gene-LOC100118291	NC_045758.1	8841047	8844602	-	3556
gene-LOC100118251	NC_045758.1	8845638	8855007	+	9370
gene-LOC100118218	NC_045758.1	8855502	8858912	-	3411
gene-LOC100114897	NC_045758.1	8858999	8861076	+	2078
gene-LOC103316383	NC_045758.1	8860910	8864720	-	3811
gene-LOC100118147	NC_045758.1	8864324	8866622	+	2299
gene-LOC100118112	NC_045758.1	8866614	8871259	-	4646
gene-LOC100114946	NC_045758.1	8870233	8875691	+	5459
gene-LOC100118067	NC_045758.1	8875908	8880491	+	4584
gene-LOC100118031	NC_045758.1	8880453	8883374	-	2922
gene-LOC100117996	NC_045758.1	8883471	8886001	-	2531
gene-LOC100114857	NC_045758.1	8886040	8887389	+	1350
gene-LOC100117963	NC_045758.1	8887250	8888977	-	1728
gene-LOC100117924	NC_045758.1	8889332	8905237	-	15906
gene-LOC100117883	NC_045758.1	8905712	8968858	-	63147
gene-LOC100678306	NC_045758.1	8969761	8972652	-	2892
gene-LOC100117767	NC_045758.1	8974230	8982910	-	8681
gene-LOC100117731	NC_045758.1	8981673	8989782	+	8110
gene-LOC100117690	NC_045758.1	8989861	8999016	-	9156
gene-LOC116416115	NC_045758.1	8999908	9009979	-	10072
gene-LOC116416114	NC_045758.1	9006052	9014839	+	8788
gene-LOC100117651	NC_045758.1	9016144	9028498	+	12355
gene-LOC100117607	NC_045758.1	9028805	9035704	+	6900
gene-LOC100117564	NC_045758.1	9035818	9037736	+	1919
gene-LOC100117529	NC_045758.1	9039505	9047099	+	7595
gene-LOC100114816	NC_045758.1	9047315	9050244	+	2930
gene-LOC100117489	NC_045758.1	9049577	9053097	-	3521
gene-LOC100117404	NC_045758.1	9053105	9142597	-	89493
gene-LOC100677929	NC_045758.1	9144711	9148598	-	3888
gene-LOC116416111	NC_045758.1	9154240	9155312	+	1073
gene-LOC100117262	NC_045758.1	9184748	9239197	-	54450
gene-LOC100114779	NC_045758.1	9233111	9235329	+	2219
gene-LOC100117186	NC_045758.1	9239516	9241325	+	1810
gene-Pten	NC_045758.1	9243491	9261649	+	18159
gene-LOC116416117	NC_045758.1	9250965	9252904	-	1940
gene-LOC100117110	NC_045758.1	9261670	9263598	-	1929
gene-LOC100114744	NC_045758.1	9266560	9270055	+	3496
gene-LOC100679808	NC_045758.1	9269700	9275663	-	5964
gene-LOC103316379	NC_045758.1	9272540	9276442	+	3903
gene-LOC100116996	NC_045758.1	9276071	9285649	-	9579
gene-LOC100678037	NC_045758.1	9291350	9332319	+	40970
gene-LOC100679653	NC_045758.1	9334048	9340575	+	6528
gene-LOC100116846	NC_045758.1	9340754	9345175	-	4422
gene-LOC100116818	NC_045758.1	9344966	9350640	+	5675
gene-LOC100114704	NC_045758.1	9350179	9352695	-	2517
gene-LOC100116464	NC_045758.1	9352753	9382780	+	30028
gene-LOC103316375	NC_045758.1	9353745	9355694	-	1950
gene-LOC103316398	NC_045758.1	9356798	9358426	-	1629
gene-LOC100677982	NC_045758.1	9359638	9365502	-	5865
gene-LOC100116640	NC_045758.1	9365902	9367574	-	1673
gene-LOC103316378	NC_045758.1	9368002	9369749	-	1748
gene-LOC100116567	NC_045758.1	9369990	9371729	-	1740
gene-LOC116738502	NC_045758.1	9371785	9372778	-	994
gene-LOC100116501	NC_045758.1	9373395	9375409	-	2015
gene-LOC100116430	NC_045758.1	9383966	9386734	+	2769
gene-LOC100114665	NC_045758.1	9386425	9389521	-	3097
gene-LOC100116397	NC_045758.1	9389974	9391638	+	1665
gene-LOC100116360	NC_045758.1	9391582	9395474	-	3893
gene-LOC100116321	NC_045758.1	9395903	9401060	+	5158
gene-LOC100116284	NC_045758.1	9401616	9405471	-	3856
gene-LOC103316373	NC_045758.1	9403344	9404906	+	1563
gene-LOC100679130	NC_045758.1	9405353	9408113	+	2761
gene-LOC100116209	NC_045758.1	9407590	9409727	-	2138
gene-LOC100116106	NC_045758.1	9429790	9516956	+	87167
gene-TRNAL-AAG-2	NC_045758.1	9500743	9500824	-	82
gene-LOC100116068	NC_045758.1	9529809	9552149	+	22341
gene-LOC116738501	NC_045758.1	9544035	9558801	-	14767
gene-LOC100116030	NC_045758.1	9558624	9622951	+	64328
gene-Ndufa6	NC_045758.1	9623086	9628915	-	5830
gene-LOC100115956	NC_045758.1	9624577	9626157	+	1581
gene-LOC100679003	NC_045758.1	9626927	9631424	+	4498
gene-LOC116416089	NC_045758.1	9630998	9633252	-	2255
gene-LOC100115917	NC_045758.1	9631880	9634980	+	3101
gene-LOC100115879	NC_045758.1	9633951	9638668	-	4718
gene-LOC100115844	NC_045758.1	9638412	9640599	+	2188
gene-LOC100115798	NC_045758.1	9643367	9663588	+	20222
gene-LOC116416087	NC_045758.1	9653783	9655402	-	1620
gene-LOC100678223	NC_045758.1	9664806	9668173	-	3368
gene-LOC100115716	NC_045758.1	9668306	9728650	-	60345
gene-LOC100115673	NC_045758.1	9729268	9737899	+	8632
gene-LOC100114630	NC_045758.1	9737431	9740477	-	3047
gene-LOC103316370	NC_045758.1	9739575	9740066	-	492
gene-LOC100114596	NC_045758.1	9740566	9742146	+	1581
gene-LOC100114558	NC_045758.1	9742337	9744098	+	1762
gene-LOC100679564	NC_045758.1	9744684	9747460	+	2777
gene-LOC116416088	NC_045758.1	9747266	9750221	-	2956
gene-LOC100115546	NC_045758.1	9747798	9776733	+	28936
gene-LOC116416090	NC_045758.1	9756895	9759188	+	2294
gene-LOC103316397	NC_045758.1	9779536	9782375	+	2840
gene-LOC100115471	NC_045758.1	9781713	9786264	-	4552
gene-LOC100115437	NC_045758.1	9786748	9789997	-	3250
gene-LOC100115409	NC_045758.1	9789578	9794691	-	5114
gene-LOC100115370	NC_045758.1	9794843	9799554	-	4712
gene-Eve	NC_045758.1	9820948	9822809	+	1862
gene-LOC100115298	NC_045758.1	9845890	9847567	-	1678
gene-LOC100115263	NC_045758.1	9847629	9851076	+	3448
gene-LOC100115223	NC_045758.1	9851002	9854819	-	3818
gene-LOC107980632	NC_045758.1	9861666	9865044	+	3379
gene-LOC100677899	NC_045758.1	9864924	9866672	+	1749
gene-LOC100679150	NC_045758.1	9866664	9870024	-	3361
gene-LOC100123896	NC_045758.1	9869628	9871180	+	1553
gene-LOC100123893	NC_045758.1	9870570	9873662	-	3093
gene-LOC100123879	NC_045758.1	9872251	10023946	+	151696
gene-LOC100123886	NC_045758.1	9877885	9883415	-	5531
gene-LOC103315316	NC_045758.1	9886410	9887727	+	1318
gene-LOC116738454	NC_045758.1	9887925	9889050	+	1126
gene-Mir307	NC_045758.1	9975032	9975129	+	98
gene-LOC107980716	NC_045758.1	9998354	10001693	-	3340
gene-LOC116415687	NC_045758.1	10023929	10028231	-	4303
gene-LOC100123877	NC_045758.1	10025478	10028310	-	2833
gene-LOC100123875	NC_045758.1	10028968	10034925	-	5958
gene-LOC100123873	NC_045758.1	10034800	10041097	+	6298
gene-LOC100680361	NC_045758.1	10041912	10047097	+	5186
gene-LOC100123871	NC_045758.1	10045821	10053000	-	7180
gene-LOC100123868	NC_045758.1	10053090	10058911	+	5822
gene-LOC100123867	NC_045758.1	10059641	10063553	+	3913
gene-LOC100123864	NC_045758.1	10063544	10066674	-	3131
gene-LOC100123863	NC_045758.1	10066486	10070062	+	3577
gene-LOC100123859	NC_045758.1	10067656	10072017	-	4362
gene-LOC100123856	NC_045758.1	10072115	10081367	+	9253
gene-LOC100123854	NC_045758.1	10104796	10136790	+	31995
gene-LOC100123850	NC_045758.1	10139019	10152163	-	13145
gene-LOC100123846	NC_045758.1	10152054	10172024	+	19971
gene-LOC100123843	NC_045758.1	10171614	10173484	-	1871
gene-LOC100120596	NC_045758.1	10173824	10174980	+	1157
gene-LOC100678945	NC_045758.1	10174424	10178523	-	4100
gene-LOC100120567	NC_045758.1	10177996	10179402	+	1407
gene-LOC107980745	NC_045758.1	10179485	10180955	+	1471
gene-LOC100123837	NC_045758.1	10180214	10183605	-	3392
gene-LOC100123834	NC_045758.1	10184384	10196037	+	11654
gene-LOC100678914	NC_045758.1	10196250	10236014	-	39765
gene-LOC107980683	NC_045758.1	10216600	10220461	+	3862
gene-LOC100123821	NC_045758.1	10238183	10239053	-	871
gene-LOC100123818	NC_045758.1	10253483	10263549	+	10067
gene-LOC100123814	NC_045758.1	10263362	10268493	-	5132
gene-LOC100679756	NC_045758.1	10268583	10272788	-	4206
gene-LOC100123812	NC_045758.1	10272934	10275909	+	2976
gene-LOC100123809	NC_045758.1	10276736	10282430	+	5695
gene-LOC100123807	NC_045758.1	10282420	10287976	-	5557
gene-LOC100123801	NC_045758.1	10289859	10324521	+	34663
gene-LOC100123797	NC_045758.1	10326870	10350474	-	23605
gene-Mir282	NC_045758.1	10351864	10351955	-	92
gene-LOC103317230	NC_045758.1	10359624	10360090	-	467
gene-LOC100123794	NC_045758.1	10360176	10361835	+	1660
gene-LOC100123791	NC_045758.1	10361782	10364371	-	2590
gene-LOC107980631	NC_045758.1	10366603	10374162	-	7560
gene-LOC116416108	NC_045758.1	10370027	10371850	+	1824
gene-LOC100679501	NC_045758.1	10375317	10377345	+	2029
gene-LOC100679474	NC_045758.1	10385682	10409762	-	24081
gene-LOC100679445	NC_045758.1	10389256	10392403	+	3148
gene-TRNAV-AAC	NC_045758.1	10399402	10399474	+	73
gene-TRNAV-AAC-2	NC_045758.1	10399968	10400040	+	73
gene-LOC100123780	NC_045758.1	10413369	10433713	-	20345
gene-LOC103317229	NC_045758.1	10426006	10437189	+	11184
gene-TRNAY-GUA	NC_045758.1	10437416	10437508	+	93
gene-TRNAR-UCG	NC_045758.1	10438724	10438796	-	73
